Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Breaking Bad,2008,18+,9.5,100,"Crime,Drama","When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.Breaking Bad featuring Bryan Cranston and Aaron Paul has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 62 episodes over 5 seasons. Breaking Bad is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.5 (1,391,409 votes) and was very well received by critics.",5Seasons,Netflix
Game of Thrones,2011,18+,9.3,99,"Action & Adventure,Drama","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.Game of Thrones featuring Emilia Clarke and Lena Headey has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 74 episodes over 8 seasons. Game of Thrones is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.3 (1,704,731 votes) and was very well received by critics.",8Seasons,"HBO MAX,HBO"
Rick and Morty,2013,18+,9.2,97,"Animation,Comedy","Rick is a mentally-unbalanced but scientifically-gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.Rick and Morty featuring Justin Roiland and Chris Parnell has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), and 8 others. It's an action & adventure and animation show with 42 episodes over 4 seasons. Rick and Morty is still airing with no announced date for the next episode or season. It has a very high IMDb audience rating of 9.2 (354,057 votes) and was very well received by critics.",4Seasons,"Free Services,HBO MAX,Hulu"
Stranger Things,2016,16+,8.8,96,"Drama,Fantasy","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.Stranger Things featuring Winona Ryder and David Harbour has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 25 episodes over 3 seasons. Stranger Things is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (766,806 votes) and was very well received by critics.",3Seasons,Netflix
The Boys,2019,18+,8.7,95,"Action & Adventure,Comedy","A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.The Boys featuring Karl Urban and Jack Quaid has one or more episodes streaming with subscription on Prime Video, and available for purchase on VUDU. It's an action & adventure and comedy show with 12 episodes over 2 seasons. The Boys has a new episode airing on September 17th, 2020 (PDT). It has a high IMDb audience rating of 8.7 (170,705 votes) and was very well received by critics.",2Seasons,Prime Video
Dark,2017,16+,8.8,95,"Crime,Drama","A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.Dark has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 26 episodes over 3 seasons. Dark is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (249,219 votes) and was very well received by critics.",3Seasons,Netflix
Chernobyl,2019,18+,9.4,95,"Drama,History","The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.Chernobyl featuring Jared Harris and Stellan Skarsgård has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on Google Play, and 2 others. It's a drama and history show with 5 episodes over 1 season. Chernobyl is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.4 (494,136 votes) and was very well received by critics.",1Season,"HBO MAX,HBO"
Sherlock,2010,16+,9.1,94,"Action & Adventure,Crime","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.Sherlock featuring Benedict Cumberbatch and Martin Freeman has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and crime show with 13 episodes over 4 seasons. Sherlock is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.1 (778,486 votes) and was well received by critics.",4Seasons,Netflix
Fargo,2014,18+,8.9,94,"Crime,Drama","A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.Fargo featuring Ewan McGregor and Michael Stuhlbarg has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 30 episodes over 3 seasons. Fargo is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.9 (309,584 votes) and was very well received by critics.",3Seasons,Hulu
Avatar: The Last Airbender,2005,7+,9.2,94,"Action & Adventure,Animation","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.Avatar: The Last Airbender featuring Olivia Hack and Jennie Kwan has one or more episodes streaming with subscription on Netflix, streaming on CBS All Access, streaming with subscription on Hoopla, and 6 others. It's an action & adventure and animation show with 66 episodes over 3 seasons. Avatar: The Last Airbender is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (232,305 votes) and was very well received by critics.",3Seasons,"Netflix,CBS All Access,Hoopla"
